"","domain_name","sequence_evalue"
"127","HISEQ01:561:D1DRUACXX:7:1202:13978:41916_1",2.4e-18
"128","HISEQ01:561:D1DRUACXX:7:1107:9868:39293_1",2.4e-18
"129","HISEQ01:561:D1DRUACXX:7:1108:16652:120035_1",2.4e-18
"130","HISEQ01:561:D1DRUACXX:7:1101:3906:79927_1",2.5e-18
"131","HISEQ01:561:D1DRUACXX:7:1201:9128:29175_1",2.5e-18
"132","HISEQ01:561:D1DRUACXX:7:1203:17612:143412_1",2.5e-18
"133","HISEQ01:561:D1DRUACXX:7:1204:11065:57547_1",2.5e-18
"134","HISEQ01:561:D1DRUACXX:7:1205:17317:114314_1",2.6e-18
"135","HISEQ01:561:D1DRUACXX:7:1108:6073:86689_1",2.7e-18
"136","HISEQ01:561:D1DRUACXX:7:1204:16896:149557_1",2.8e-18
"137","HISEQ01:561:D1DRUACXX:7:1107:20312:7342_1",2.9e-18
"138","HISEQ01:561:D1DRUACXX:7:1107:12886:104457_1",3e-18
"139","HISEQ01:561:D1DRUACXX:7:1206:17505:113827_1",3e-18
"140","HISEQ01:561:D1DRUACXX:7:1107:16063:31862_1",3.3e-18
"141","HISEQ01:561:D1DRUACXX:7:1103:8693:155028_1",3.3e-18
"142","HISEQ01:561:D1DRUACXX:7:1107:13729:95393_1",3.4e-18
"143","HISEQ01:561:D1DRUACXX:7:1205:19073:107872_1",3.5e-18
"144","HISEQ01:561:D1DRUACXX:7:1101:11913:136792_1",3.5e-18
"145","HISEQ01:561:D1DRUACXX:7:1202:8831:155710_1",3.5e-18
"146","HISEQ01:561:D1DRUACXX:7:1103:6655:72602_1",3.6e-18
"147","HISEQ01:561:D1DRUACXX:7:1101:3334:161073_1",3.9e-18
"148","HISEQ01:561:D1DRUACXX:7:1106:10727:4954_1",3.9e-18
"149","HISEQ01:561:D1DRUACXX:7:1102:8597:107842_1",4.3e-18
"150","HISEQ01:561:D1DRUACXX:7:1105:5014:95791_1",4.4e-18
"151","HISEQ01:561:D1DRUACXX:7:1202:8448:41484_1",4.6e-18
"152","HISEQ01:561:D1DRUACXX:7:1205:16925:115754_1",4.9e-18
"153","HISEQ01:561:D1DRUACXX:7:1203:4733:101766_1",4.9e-18
"154","HISEQ01:561:D1DRUACXX:7:1108:17046:196456_1",4.9e-18
"155","HISEQ01:561:D1DRUACXX:7:1107:12735:55447_1",4.9e-18
"156","HISEQ01:561:D1DRUACXX:7:1203:19666:71997_1",5.1e-18
"157","HISEQ01:561:D1DRUACXX:7:1202:19073:101854_1",5.5e-18
"158","HISEQ01:561:D1DRUACXX:7:1206:18909:123169_1",5.9e-18
"159","HISEQ01:561:D1DRUACXX:7:1201:13045:166989_1",6e-18
"160","HISEQ01:561:D1DRUACXX:7:1105:18278:14454_1",6.1e-18
"161","HISEQ01:561:D1DRUACXX:7:1201:19682:102415_1",6.1e-18
"162","HISEQ01:561:D1DRUACXX:7:1106:14132:88637_1",6.2e-18
"163","HISEQ01:561:D1DRUACXX:7:1202:18672:169790_1",6.4e-18
"164","HISEQ01:561:D1DRUACXX:7:1105:17557:156554_1",6.5e-18
"165","HISEQ01:561:D1DRUACXX:7:1205:4059:115670_1",6.7e-18
"166","HISEQ01:561:D1DRUACXX:7:1107:14329:21931_1",6.9e-18
"167","HISEQ01:561:D1DRUACXX:7:1107:16797:45259_1",6.9e-18
"168","HISEQ01:561:D1DRUACXX:7:1105:17728:196241_1",7e-18
"169","HISEQ01:561:D1DRUACXX:7:1204:4596:191316_1",7e-18
"170","HISEQ01:561:D1DRUACXX:7:1105:7199:132616_1",7e-18
"171","HISEQ01:561:D1DRUACXX:7:1106:19478:30352_1",7e-18
"172","HISEQ01:561:D1DRUACXX:7:1204:8407:44227_1",7e-18
"173","HISEQ01:561:D1DRUACXX:7:1101:16203:184443_1",7.3e-18
"174","HISEQ01:561:D1DRUACXX:7:1104:13547:179428_1",7.3e-18
"175","HISEQ01:561:D1DRUACXX:7:1102:1089:191236_1",7.5e-18
"176","HISEQ01:561:D1DRUACXX:7:1102:1556:80412_1",7.5e-18
"177","HISEQ01:561:D1DRUACXX:7:1101:18507:191200_1",7.6e-18
"178","HISEQ01:561:D1DRUACXX:7:1104:18028:193148_1",7.7e-18
"179","HISEQ01:561:D1DRUACXX:7:1106:2630:5329_1",7.8e-18
"180","HISEQ01:561:D1DRUACXX:7:1203:18987:170683_1",8.1e-18
"181","HISEQ01:561:D1DRUACXX:7:1103:10325:139487_1",8.2e-18
"182","HISEQ01:561:D1DRUACXX:7:1205:6103:152054_1",8.3e-18
"183","HISEQ01:561:D1DRUACXX:7:1103:7089:20073_1",8.4e-18
"184","HISEQ01:561:D1DRUACXX:7:1106:17189:188912_1",8.5e-18
"185","HISEQ01:561:D1DRUACXX:7:1105:19861:142360_1",9.6e-18
"186","HISEQ01:561:D1DRUACXX:7:1107:19063:24101_1",9.9e-18
"187","HISEQ01:561:D1DRUACXX:7:1206:13531:63730_1",1.1e-17
"188","HISEQ01:561:D1DRUACXX:7:1204:14837:46364_1",1.1e-17
"189","HISEQ01:561:D1DRUACXX:7:1103:12702:105974_1",1.1e-17
"190","HISEQ01:561:D1DRUACXX:7:1201:17377:82697_1",1.1e-17
"191","HISEQ01:561:D1DRUACXX:7:1102:5461:188729_1",1.1e-17
"192","HISEQ01:561:D1DRUACXX:7:1203:9768:160139_1",1.1e-17
"193","HISEQ01:561:D1DRUACXX:7:1206:13806:20567_1",1.1e-17
"194","HISEQ01:561:D1DRUACXX:7:1108:19312:57654_1",1.2e-17
"195","HISEQ01:561:D1DRUACXX:7:1101:18469:36400_1",1.2e-17
"196","HISEQ01:561:D1DRUACXX:7:1101:10720:180007_1",1.3e-17
"197","HISEQ01:561:D1DRUACXX:7:1204:11091:22891_1",1.3e-17
"198","HISEQ01:561:D1DRUACXX:7:1104:9351:110370_1",1.3e-17
"199","HISEQ01:561:D1DRUACXX:7:1204:11381:170326_1",1.3e-17
"200","HISEQ01:561:D1DRUACXX:7:1107:15190:18071_1",1.3e-17
"201","HISEQ01:561:D1DRUACXX:7:1107:20215:92291_1",1.3e-17
"202","HISEQ01:561:D1DRUACXX:7:1108:19483:157602_1",1.3e-17
"203","HISEQ01:561:D1DRUACXX:7:1101:6411:63239_1",1.3e-17
"204","HISEQ01:561:D1DRUACXX:7:1102:9082:130391_1",1.4e-17
"205","HISEQ01:561:D1DRUACXX:7:1206:16963:33398_1",1.4e-17
"206","HISEQ01:561:D1DRUACXX:7:1203:7818:28531_1",1.4e-17
"207","HISEQ01:561:D1DRUACXX:7:1203:18810:118085_1",1.5e-17
"208","HISEQ01:561:D1DRUACXX:7:1103:10744:35048_1",1.5e-17
"209","HISEQ01:561:D1DRUACXX:7:1102:9203:190657_1",1.5e-17
"210","HISEQ01:561:D1DRUACXX:7:1107:4404:93592_1",1.6e-17
"211","HISEQ01:561:D1DRUACXX:7:1204:19299:31296_1",1.6e-17
