"","domain_name","sequence_evalue"
"54","HISEQ01:561:D1DRUACXX:7:1102:10119:61052_1",9e-14
"55","HISEQ01:561:D1DRUACXX:7:1104:20536:153434_1",9.4e-14
"56","HISEQ01:561:D1DRUACXX:7:1103:9696:18780_1",9.5e-14
"57","HISEQ01:561:D1DRUACXX:7:1102:4318:72843_1",1e-13
"58","HISEQ01:561:D1DRUACXX:7:1206:18436:18192_1",1.2e-13
"59","HISEQ01:561:D1DRUACXX:7:1104:13222:52364_1",1.2e-13
"60","HISEQ01:561:D1DRUACXX:7:1204:17268:19126_1",1.3e-13
"61","HISEQ01:561:D1DRUACXX:7:1102:4345:31333_1",2.2e-13
"62","HISEQ01:561:D1DRUACXX:7:1105:15801:163702_1",2.3e-13
"63","HISEQ01:561:D1DRUACXX:7:1102:14002:173720_1",2.4e-13
"64","HISEQ01:561:D1DRUACXX:7:1108:10932:130615_1",2.8e-13
"65","HISEQ01:561:D1DRUACXX:7:1103:8145:170645_1",3e-13
"66","HISEQ01:561:D1DRUACXX:7:1107:10371:79501_1",3.2e-13
"67","HISEQ01:561:D1DRUACXX:7:1107:20387:29499_1",3.3e-13
"68","HISEQ01:561:D1DRUACXX:7:1102:2178:180056_1",3.3e-13
"69","HISEQ01:561:D1DRUACXX:7:1106:1690:102078_1",3.6e-13
"70","HISEQ01:561:D1DRUACXX:7:1206:4011:154916_1",3.8e-13
"71","HISEQ01:561:D1DRUACXX:7:1106:18834:189645_1",3.8e-13
"72","HISEQ01:561:D1DRUACXX:7:1105:14035:36032_1",3.9e-13
"73","HISEQ01:561:D1DRUACXX:7:1103:18536:57306_1",4.3e-13
"74","HISEQ01:561:D1DRUACXX:7:1206:8432:69780_1",4.6e-13
"75","HISEQ01:561:D1DRUACXX:7:1108:2808:67339_1",4.6e-13
"76","HISEQ01:561:D1DRUACXX:7:1202:10948:131298_1",4.8e-13
"77","HISEQ01:561:D1DRUACXX:7:1206:11742:157000_1",5.6e-13
"78","HISEQ01:561:D1DRUACXX:7:1105:5829:103098_1",5.6e-13
"79","HISEQ01:561:D1DRUACXX:7:1102:18629:175374_1",5.8e-13
"80","HISEQ01:561:D1DRUACXX:7:1105:19199:167419_1",6.2e-13
"81","HISEQ01:561:D1DRUACXX:7:1205:12343:48618_1",6.6e-13
"82","HISEQ01:561:D1DRUACXX:7:1204:14131:161125_1",7.3e-13
"83","HISEQ01:561:D1DRUACXX:7:1102:1026:118057_1",7.7e-13
"84","HISEQ01:561:D1DRUACXX:7:1204:11709:26096_1",8.3e-13
"85","HISEQ01:561:D1DRUACXX:7:1202:12809:180406_1",8.9e-13
"86","HISEQ01:561:D1DRUACXX:7:1204:3764:54793_1",9.6e-13
"87","HISEQ01:561:D1DRUACXX:7:1202:16950:137521_1",1e-12
"88","HISEQ01:561:D1DRUACXX:7:1206:11742:157000_1",1.1e-12
"89","HISEQ01:561:D1DRUACXX:7:1206:2873:27203_1",1.4e-12
"90","HISEQ01:561:D1DRUACXX:7:1206:18366:167124_1",1.4e-12
"91","HISEQ01:561:D1DRUACXX:7:1108:7227:97320_1",1.5e-12
"92","HISEQ01:561:D1DRUACXX:7:1202:11132:103389_1",1.7e-12
"93","HISEQ01:561:D1DRUACXX:7:1205:11945:92739_1",1.8e-12
"94","HISEQ01:561:D1DRUACXX:7:1206:4015:87247_1",2.4e-12
"95","HISEQ01:561:D1DRUACXX:7:1104:9345:94411_1",2.4e-12
"96","HISEQ01:561:D1DRUACXX:7:1202:11104:99955_1",2.5e-12
"97","HISEQ01:561:D1DRUACXX:7:1201:4100:108719_1",2.8e-12
"98","HISEQ01:561:D1DRUACXX:7:1107:8569:110129_1",3.1e-12
"99","HISEQ01:561:D1DRUACXX:7:1201:6983:173596_1",3.1e-12
"100","HISEQ01:561:D1DRUACXX:7:1103:1872:158648_1",4.3e-12
"101","HISEQ01:561:D1DRUACXX:7:1205:10856:31948_1",4.7e-12
"102","HISEQ01:561:D1DRUACXX:7:1106:10390:132700_1",4.7e-12
"103","HISEQ01:561:D1DRUACXX:7:1205:19851:106056_1",4.9e-12
"104","HISEQ01:561:D1DRUACXX:7:1105:15801:163702_1",4.9e-12
"105","HISEQ01:561:D1DRUACXX:7:1205:10518:33504_1",5e-12
"106","HISEQ01:561:D1DRUACXX:7:1205:19332:88965_1",5e-12
"107","HISEQ01:561:D1DRUACXX:7:1105:2404:156944_1",5.3e-12
"108","HISEQ01:561:D1DRUACXX:7:1206:15067:169010_1",5.4e-12
"109","HISEQ01:561:D1DRUACXX:7:1108:16392:195402_1",5.5e-12
"110","HISEQ01:561:D1DRUACXX:7:1205:9883:100036_1",6.4e-12
"111","HISEQ01:561:D1DRUACXX:7:1106:15891:5195_1",6.8e-12
"112","HISEQ01:561:D1DRUACXX:7:1105:9836:94856_1",7.1e-12
"113","HISEQ01:561:D1DRUACXX:7:1106:5749:197195_1",7.2e-12
"114","HISEQ01:561:D1DRUACXX:7:1202:11074:43236_1",8.2e-12
"115","HISEQ01:561:D1DRUACXX:7:1204:16319:40403_1",8.5e-12
"116","HISEQ01:561:D1DRUACXX:7:1102:19749:130820_1",8.6e-12
"117","HISEQ01:561:D1DRUACXX:7:1201:13810:146607_1",8.6e-12
"118","HISEQ01:561:D1DRUACXX:7:1106:14050:28544_1",9.1e-12
"119","HISEQ01:561:D1DRUACXX:7:1202:13377:4867_1",9.2e-12
"120","HISEQ01:561:D1DRUACXX:7:1206:9553:116893_1",1e-11
"121","HISEQ01:561:D1DRUACXX:7:1103:12568:37893_1",1.1e-11
"122","HISEQ01:561:D1DRUACXX:7:1201:16670:2839_1",1.1e-11
"123","HISEQ01:561:D1DRUACXX:7:1107:18344:119891_1",1.1e-11
"124","HISEQ01:561:D1DRUACXX:7:1106:10564:126105_1",1.2e-11
"125","HISEQ01:561:D1DRUACXX:7:1207:3872:45121_1",1.2e-11
"126","HISEQ01:561:D1DRUACXX:7:1205:6166:163176_1",1.2e-11
"127","HISEQ01:561:D1DRUACXX:7:1205:8677:94614_1",1.3e-11
"128","HISEQ01:561:D1DRUACXX:7:1203:18351:123873_1",1.3e-11
"129","HISEQ01:561:D1DRUACXX:7:1202:12294:4886_1",1.6e-11
