"","domain_name","sequence_evalue"
"158","NS500302:312:HJHHTBGX5:4:11510:5145:15821_1:726417",1.2e-17
"159","NS500302:312:HJHHTBGX5:4:11504:10327:15655_1:719907",1.5e-17
"160","NS500302:312:HJHHTBGX5:4:11510:5145:15821_1:726418",1.5e-17
"161","NS500302:312:HJHHTBGX5:3:13501:7213:19743_1:569338",1.6e-17
"162","NS500302:312:HJHHTBGX5:3:23602:8089:19847_1:692349",1.7e-17
"163","NS500302:312:HJHHTBGX5:1:11102:16658:19421_1:2287",1.7e-17
"164","NS500302:312:HJHHTBGX5:4:22510:13101:15712_1:881242",1.7e-17
"165","NS500302:312:HJHHTBGX5:3:11610:21938:16814_1:517888",1.8e-17
"166","NS500302:312:HJHHTBGX5:4:13610:15546:11484_1:815668",1.8e-17
"167","NS500302:312:HJHHTBGX5:2:11307:18148:18279_1:276004",1.9e-17
"168","NS500302:312:HJHHTBGX5:1:11307:21372:9495_1:33882",2.9e-17
"169","NS500302:312:HJHHTBGX5:4:11504:10327:15655_1:719906",2.9e-17
"170","NS500302:312:HJHHTBGX5:4:23507:11905:13248_1:917290",5.2e-17
"171","NS500302:312:HJHHTBGX5:4:13504:10313:16913_1:797372",5.4e-17
"172","NS500302:312:HJHHTBGX5:3:12608:26378:12827_1:552127",5.4e-17
"173","NS500302:312:HJHHTBGX5:3:22408:11855:20222_1:636729",6.2e-17
"174","NS500302:312:HJHHTBGX5:1:13307:22289:6194_1:114129",6.8e-17
"175","NS500302:312:HJHHTBGX5:1:12106:19948:6710_1:45911",6.9e-17
"176","NS500302:312:HJHHTBGX5:1:22102:11143:2036_1:162042",6.9e-17
"177","NS500302:312:HJHHTBGX5:2:13307:12562:1065_1:354952",6.9e-17
"178","NS500302:312:HJHHTBGX5:2:22301:12704:9168_1:430479",6.9e-17
"179","NS500302:312:HJHHTBGX5:3:11407:2997:17037_1:490646",6.9e-17
"180","NS500302:312:HJHHTBGX5:3:22404:15911:12349_1:632452",6.9e-17
"181","NS500302:312:HJHHTBGX5:4:12506:10674:1318_1:759775",6.9e-17
"182","NS500302:312:HJHHTBGX5:4:23509:1926:17577_1:919902",6.9e-17
"183","NS500302:312:HJHHTBGX5:1:13106:23010:9321_1:86494",7.2e-17
"184","NS500302:312:HJHHTBGX5:1:23111:16008:8621_1:212718",7.2e-17
"185","NS500302:312:HJHHTBGX5:2:13101:12996:4086_1:322231",7.2e-17
"186","NS500302:312:HJHHTBGX5:2:13207:2339:7488_1:342048",7.2e-17
"187","NS500302:312:HJHHTBGX5:2:13211:24006:11281_1:346846",7.2e-17
"188","NS500302:312:HJHHTBGX5:2:21307:26146:17698_1:398067",7.2e-17
"189","NS500302:312:HJHHTBGX5:2:22103:25239:16323_1:407110",7.2e-17
"190","NS500302:312:HJHHTBGX5:2:23212:11009:20132_1:470142",7.2e-17
"191","NS500302:312:HJHHTBGX5:3:13406:13332:6157_1:561889",7.2e-17
"192","NS500302:312:HJHHTBGX5:3:23512:19793:16354_1:690128",7.2e-17
"193","NS500302:312:HJHHTBGX5:4:12505:6962:4057_1:758846",7.2e-17
"194","NS500302:312:HJHHTBGX5:4:13408:6099:3058_1:787630",7.2e-17
